ITER	RESIDUUM	ALFA	BETA
1	28.001	0.124343	0.179121
2	13.5626	0.00554543	0.234607
3	7.44673	0.274607	0.30147
4	2.66773	0.360141	0.128337
5	1.67942	0.206244	0.396308
6	0.906317	0.34524	0.291234
7	1.11677	0.155484	1.51834
8	0.643477	0.298231	0.332
9	0.691563	0.0098118	1.15504
10	0.210465	0.124286	0.0926186
11	0.355281	0.536248	2.84958
12	0.0635689	0.228152	0.0320145
13	0.0165161	0.353169	0.0675033
14	0.00987437	0.292564	0.35744
15	0.0132588	0.291471	1.80298
16	0.00910625	0.00674084	0.471704
17	0.0021522	0.164746	0.0558579
18	0.0013771	0.851057	0.409419
19	0.000670575	0.560703	0.237117
20	0.000444234	0.340959	0.438863
21	0.000454254	0.669359	1.04562
22	0.000850655	0.0277478	3.50679
23	0.000266362	0.0139942	0.0980476
24	7.33221e-05	0.281922	0.0757752
25	1.95212e-05	0.237632	0.0708833
26	1.45331e-05	0.644124	0.554244
27	1.03694e-05	0.226019	0.509087
28	7.05449e-06	0.344523	0.462832
29	3.11073e-06	0.00535392	0.194444
30	1.29307e-06	0.531545	0.17279
