u0	deltaP
0.01	0.0172954
0.011	0.0190896
0.012	0.0209004
0.013	0.0227279
0.014	0.0245725
0.015	0.0264344
0.016	0.0283139
0.017	0.0302113
0.018	0.0321267
0.019	0.0340606
0.02	0.036013
0.021	0.0379842
0.022	0.0399745
0.023	0.0419841
0.024	0.0440132
0.025	0.0460622
0.026	0.0481312
0.027	0.0502205
0.028	0.0523303
0.029	0.054461
0.03	0.0566127
0.031	0.0587859
0.032	0.0609806
0.033	0.0631973
0.034	0.0654362
0.035	0.0676976
0.036	0.0699818
0.037	0.0722891
0.038	0.0746199
0.039	0.0769744
0.04	0.0793531
0.041	0.0817561
0.042	0.0841839
0.043	0.0866369
0.044	0.0891153
0.045	0.0916196
0.046	0.0941501
0.047	0.0967073
0.048	0.0992914
0.049	0.101903
0.05	0.104542
0.051	0.10721
0.052	0.109907
0.053	0.112632
0.054	0.115387
0.055	0.118172
0.056	0.120988
0.057	0.123835
0.058	0.126714
0.059	0.129624
0.06	0.132567
0.061	0.135543
0.062	0.138554
0.063	0.141598
0.064	0.144677
0.065	0.147792
0.066	0.150943
0.067	0.15413
0.068	0.157355
0.069	0.160618
0.07	0.16392
0.071	0.167261
0.072	0.170643
0.073	0.174065
0.074	0.177529
0.075	0.181036
0.076	0.184586
0.077	0.18818
0.078	0.191819
0.079	0.195504
0.08	0.199235
0.081	0.203015
0.082	0.206843
0.083	0.21072
0.084	0.214648
0.085	0.218628
0.086	0.22266
0.087	0.226746
0.088	0.230887
0.089	0.235084
0.09	0.239338
0.091	0.243651
0.092	0.248023
0.093	0.252456
0.094	0.256951
0.095	0.26151
0.096	0.266133
0.097	0.270823
0.098	0.275581
0.099	0.280408
0.1	0.285306
0.101	0.290276
0.102	0.295321
0.103	0.300441
0.104	0.305638
0.105	0.310915
0.106	0.316273
0.107	0.321713
0.108	0.327239
0.109	0.332851
0.11	0.338552
0.111	0.344344
0.112	0.350229
0.113	0.356209
0.114	0.362286
0.115	0.368464
0.116	0.374743
0.117	0.381128
0.118	0.387619
0.119	0.39422
0.12	0.400933
0.121	0.407762
0.122	0.414708
0.123	0.421775
0.124	0.428965
0.125	0.436281
0.126	0.443727
0.127	0.451305
0.128	0.459019
0.129	0.466871
0.13	0.474865
0.131	0.483004
0.132	0.491292
0.133	0.499731
0.134	0.508326
0.135	0.517079
0.136	0.525993
0.137	0.535073
0.138	0.544322
0.139	0.553742
0.14	0.563338
0.141	0.573112
0.142	0.583068
0.143	0.593208
0.144	0.603535
0.145	0.614053
0.146	0.624763
0.147	0.635668
0.148	0.646769
0.149	0.658069
0.15	0.669568
0.151	0.681266
0.152	0.693165
0.153	0.705264
0.154	0.717563
0.155	0.730058
0.156	0.742749
0.157	0.755632
0.158	0.768705
0.159	0.781961
0.16	0.795396
0.161	0.809005
0.162	0.822779
0.163	0.836712
0.164	0.850795
0.165	0.86502
0.166	0.879376
0.167	0.893855
0.168	0.908444
0.169	0.923135
0.17	0.937916
0.171	0.952777
0.172	0.967708
0.173	0.982698
0.174	0.997739
0.175	1.01282
0.176	1.02794
0.177	1.04309
0.178	1.05825
0.179	1.07344
