ITER	RESIDUUM	ALFA	BETA
1	18.4652	0.153508	0.00373482
2	19.8293	0.0196163	1.15321
3	9.95282	0.178392	0.251928
4	6.60415	0.37772	0.440293
5	5.06365	0.527013	0.587885
6	7.89462	0.478972	2.43072
7	7.08501	0.0176778	0.805413
8	5.39954	0.0643399	0.580809
9	4.26152	0.262933	0.622896
10	4.47587	0.137341	1.10313
11	3.97001	0.248821	0.786737
12	5.76556	0.113133	2.10911
13	4.48439	0.0164686	0.604955
14	3.54874	0.166839	0.626241
15	3.08438	0.126528	0.755422
16	3.50694	0.259401	1.29276
17	2.69475	0.12588	0.590449
18	6.73695	0.144133	6.25012
19	3.27402	0.0172797	0.236176
20	2.42276	0.129464	0.547595
21	2.85105	0.205014	1.3848
22	2.32392	0.169913	0.664408
23	2.39297	0.159658	1.06031
24	5.71716	0.126386	5.708
25	2.36763	0.0172354	0.171501
26	2.07149	0.137566	0.765488
27	2.28703	0.219808	1.21892
28	1.84161	0.145656	0.648413
29	2.13605	0.196646	1.34533
30	4.64679	0.114689	4.7324
31	1.88036	0.0162705	0.163747
32	1.7991	0.15028	0.915439
33	1.8644	0.210265	1.07392
34	1.60034	0.147908	0.736794
35	1.84305	0.207049	1.32632
36	3.67404	0.11907	3.97387
37	1.59004	0.0148113	0.187296
38	1.57985	0.156505	0.987216
39	1.60813	0.205918	1.03613
40	1.41023	0.150805	0.76902
41	1.57685	0.202574	1.25026
42	3.12816	0.119765	3.93547
43	1.40399	0.0148426	0.201441
44	1.41264	0.161242	1.01237
45	1.40784	0.19966	0.993212
46	1.24302	0.15211	0.779558
47	1.38577	0.200722	1.24287
48	2.80634	0.122548	4.10109
49	1.2771	0.0149961	0.207095
50	1.25399	0.159398	0.964136
51	1.24202	0.194132	0.981011
52	1.12571	0.157057	0.821469
53	1.25872	0.19938	1.25028
54	2.70106	0.100997	4.60475
55	1.13577	0.017632	0.176814
56	1.11373	0.163011	0.961556
57	1.12642	0.194809	1.02292
58	1.03964	0.162481	0.851856
59	1.13217	0.193191	1.18594
60	2.43528	0.097125	4.6267
61	1.0289	0.0183004	0.178503
62	1.01555	0.165115	0.974217
63	1.03874	0.196161	1.0462
64	0.95217	0.163286	0.84026
65	1.03907	0.187396	1.19086
66	2.16306	0.071569	4.33359
67	0.943911	0.0249506	0.190426
68	0.939384	0.170192	0.990432
69	0.952261	0.19336	1.0276
70	0.87053	0.163194	0.83571
71	0.943475	0.187711	1.17461
72	2.07778	0.0916483	4.84998
73	0.891749	0.0202765	0.184198
74	0.859341	0.164017	0.928638
75	0.876932	0.192129	1.04136
76	0.811843	0.166489	0.857063
77	0.887681	0.186545	1.19555
78	1.90465	0.0772822	4.6038
79	0.826175	0.0239658	0.188154
80	0.785647	0.162387	0.904296
81	0.824098	0.195283	1.10028
82	0.766273	0.17048	0.864589
83	0.799239	0.18037	1.08789
84	1.77809	0.11377	4.94944
85	0.788377	0.0171247	0.196589
86	0.732381	0.156583	0.862991
87	0.777494	0.195718	1.12699
88	0.719934	0.172735	0.857414
89	0.735956	0.173567	1.04501
90	1.68145	0.103804	5.21993
91	0.749066	0.0192265	0.198459
92	0.689343	0.159401	0.846895
93	0.721525	0.1894	1.09555
94	0.680791	0.177308	0.890278
95	0.682512	0.170911	1.00506
96	1.56872	0.114206	5.28286
97	0.716351	0.0179646	0.208527
98	0.635765	0.15614	0.787664
99	0.64132	0.179189	1.01755
100	0.60226	0.178756	0.881899
101	0.551681	0.158266	0.839089
102	1.17203	0.0843399	4.51335
103	0.495348	0.0206568	0.178626
104	0.386851	0.143269	0.609912
105	0.338168	0.152792	0.764147
106	0.310481	0.169971	0.842955
107	0.302228	0.162899	0.947545
108	0.67226	0.0780589	4.94773
109	0.342653	0.0268881	0.259798
110	0.36805	0.19936	1.15373
111	0.378498	0.186215	1.05758
112	0.360537	0.181476	0.907344
113	0.323565	0.153175	0.805424
114	0.641594	0.0608708	3.93185
115	0.322674	0.0296576	0.252934
116	0.351404	0.200888	1.186
117	0.359354	0.186526	1.04576
118	0.349731	0.182352	0.947157
119	0.326998	0.15938	0.874224
120	0.627135	0.0555659	3.67817
121	0.324688	0.0324971	0.268046
122	0.359096	0.207088	1.22318
123	0.344088	0.174027	0.91816
124	0.296373	0.179474	0.741886
125	0.315242	0.25813	1.13139
126	0.450358	0.0284802	2.04092
127	0.289826	0.149266	0.41415
128	0.24284	0.357798	0.70205
129	0.258579	0.506683	1.13383
130	0.512969	0.510355	3.93545
131	0.268308	0.0120046	0.27358
132	0.293024	0.371133	1.19272
133	0.368988	0.161997	1.58569
134	0.24524	0.204822	0.441731
135	0.377917	0.401121	2.37471
136	0.59062	0.0457459	2.44244
137	0.305774	0.0242937	0.268031
138	0.262634	0.321344	0.737734
139	0.341673	0.168582	1.69247
140	0.289681	0.239794	0.718818
141	0.346643	0.148483	1.43194
142	0.644535	0.0476307	3.45724
143	0.265788	0.0477982	0.17005
144	0.370449	0.203909	1.94261
145	0.248039	0.192483	0.448315
146	0.341923	0.206755	1.90028
147	0.414734	0.199624	1.47124
148	0.358642	0.0167493	0.747797
149	0.342177	0.112821	0.910289
150	0.251947	0.175282	0.542146
151	0.354669	0.221224	1.98165
152	0.283055	0.189445	0.636934
153	0.448414	0.147499	2.50967
154	0.383689	0.0175324	0.732153
155	0.271903	0.130044	0.502191
156	0.339995	0.189844	1.56357
157	0.276505	0.195489	0.661396
158	0.293566	0.161327	1.12721
159	0.579394	0.187548	3.89526
160	0.33386	0.0141521	0.332033
161	0.298028	0.132585	0.796865
162	0.311561	0.19947	1.09288
163	0.262961	0.157011	0.712356
164	0.332699	0.210457	1.60073
165	0.622416	0.147595	3.49993
166	0.290514	0.0134812	0.217858
167	0.299786	0.151968	1.06485
168	0.28627	0.20991	0.91186
169	0.280611	0.150904	0.960853
170	0.332875	0.2506	1.40719
171	0.571256	0.0930991	2.94509
172	0.263032	0.0148216	0.21201
173	0.323772	0.235018	1.51517
174	0.269137	0.152229	0.690982
175	0.309847	0.195379	1.32541
176	0.272881	0.183057	0.775627
177	0.584528	0.0915099	4.58842
178	0.300386	0.0199525	0.264088
179	0.301063	0.207806	1.00451
180	0.2581	0.139505	0.734955
181	0.309091	0.254551	1.43416
182	0.263818	0.146776	0.728511
183	0.618634	0.0957041	5.49869
184	0.321464	0.022831	0.270021
185	0.264949	0.16957	0.679299
186	0.270869	0.166965	1.04518
187	0.309445	0.220561	1.30511
188	0.25971	0.145695	0.704384
189	0.631495	0.0954686	5.91239
190	0.310807	0.0248649	0.242238
191	0.256112	0.1498	0.679014
192	0.289418	0.187966	1.277
193	0.27263	0.20244	0.887356
194	0.277909	0.162141	1.0391
195	0.615494	0.0748719	4.90504
196	0.287659	0.0284189	0.218429
197	0.2542	0.148317	0.780895
198	0.281641	0.213081	1.22756
199	0.252264	0.169214	0.802269
200	0.228523	0.147278	0.820635
201	0.245751	0.221381	1.15646
202	0.405048	0.0945387	2.71658
203	0.179674	0.0141868	0.196769
204	0.174142	0.17075	0.939374
205	0.110181	0.133117	0.400317
206	0.0961415	0.144632	0.761397
207	0.0967206	0.15343	1.01208
208	0.0924984	0.018949	0.914598
209	0.0480481	0.0625791	0.269826
210	0.045554	0.17163	0.898878
211	0.0385005	0.155285	0.714297
212	0.0408618	0.173107	1.12643
213	0.091456	0.163298	5.00943
214	0.0444058	0.0146911	0.235751
215	0.0380268	0.135203	0.733332
216	0.0369728	0.181732	0.945335
217	0.0253522	0.139778	0.470183
218	0.026698	0.1719	1.10898
219	0.0555363	0.0861149	4.3271
220	0.0231331	0.0193199	0.173506
221	0.0271783	0.207221	1.38031
222	0.0280828	0.202113	1.06767
223	0.0234833	0.161998	0.699258
224	0.0204742	0.142597	0.760143
225	0.0428872	0.124119	4.38774
226	0.0175914	0.014971	0.168247
227	0.0190717	0.169958	1.17538
228	0.0221696	0.211071	1.35125
229	0.0185495	0.172877	0.700079
230	0.0192607	0.210995	1.07815
231	0.0347536	0.0623469	3.25578
232	0.0148772	0.0211204	0.183249
233	0.0143548	0.183727	0.931006
234	0.0179709	0.226466	1.56727
235	0.0174472	0.195015	0.942575
236	0.0166202	0.135309	0.907442
237	0.0317653	0.0541054	3.65285
238	0.0118818	0.0334932	0.139913
239	0.0128383	0.18122	1.16749
240	0.0152753	0.27116	1.41567
241	0.0135408	0.198056	0.7858
242	0.0148593	0.183892	1.20422
243	0.0255593	0.0638392	2.95872
244	0.0113688	0.0189279	0.197849
245	0.0112177	0.203113	0.973581
246	0.013536	0.363473	1.45604
247	0.0115799	0.137151	0.731859
248	0.0111827	0.229429	0.932574
249	0.021012	0.0500048	3.53056
250	0.0104211	0.0401775	0.245978
251	0.0106018	0.320002	1.03498
252	0.0103861	0.275503	0.959718
